TRAIN_NUMBER,TRAIN_CODE,FROM,TO,START_TIME,END_TIME,ROUTE_MAP,LINE,TYPE,NOT_ON_SUNDAY,15_CAR,12_CAR_ON_SAT
long,String,String,String,String,String,String,String,String,boolean,boolean,boolean
95503,AN 9,CSMT,KALYAN,,,,,,,,
97611,C 11,CSMT,KURLA,,,,,,,,
97037,DK 1,DADAR,KALYAN,,,,,,,,
97331,T 35,CSMT,THANE,,,,,,,,
5,,,,,,,,,,,
95211,BL 11,CSMT,BADLAPUR,,,,,,,,
95605,TL 13,CSMT,TITWALA,,,,,,,,
97039,K 31,CSMT,KALYAN,,,,,,,,
95109,S 15,CSMT,KARJAT,,,,,,,,
97213,DL 13,CSMT,DOMBIVLI,,,,,,,,
95405,N 11,CSMT,KALYAN,,,,,,,,
97333,T 37,CSMT,THANE,,,,,,,,
95711,K 33,CSMT,KALYAN,,,,,,,,
97335,T 39,CSMT,THANE,,,,,,,,
95907,T 41,CSMT,THANE,,,,,,,,
97613,C 13,CSMT,KURLA,,,,,,,,
95213,BL 13,CSMT,BADLAPUR,,,,,,,,
97337,T 43,CSMT,THANE,,,,,,,,
95307,A 15,CSMT,AMBERNATH,,,,,,,,
95713,DK 3,DADAR,KALYAN,,,,,,,,
96617,TL 15,CSMT,KALYAN,,,,,,,,
97505,G 5,CSMT,GHATKOPAR,,,,,,,,
95111,S 17,CSMT,KARJAT,,,,,,,,
96009,SKP 7,KARJAT,KHOPOLI,,,,,,,,
97615,C 15,CSMT,KURLA,,,,,,,,
97041,K 35,CSMT,KALYAN,,,,,,,,
95215,BL 15,CSMT,BADLAPUR,,,,,,,,
97339,T 45,CSMT,THANE,,,,,,,,
95309,A 17,CSMT,AMBERNATH,,,,,,,,
97043,K 37,CSMT,KALYAN,,,,,,,,
95407,N 13,CSMT,KALYAN,,,,,,,,
97341,T 47,CSMT,THANE,,,,,,,,
97215,DL 15,CSMT,DOMBIVLI,,,,,,,,
6,,,,,,,,,,,
95217,BL 17,CSMT,BADLAPUR,,,,,,,,
97343,T 49,CSMT,THANE,,,,,,,,
95311,A 19,CSMT,AMBERNATH,,,,,,,,
95715,DK 5,DADAR,KALYAN,,,,,,,,
97045,PK 3,PAREL,KALYAN,,,,,,,,
97617,C 17,CSMT,KURLA,,,,,,,,
97217,DL 17,CSMT,DOMBIVLI,,,,,,,,
95113,S 19,CSMT,KARJAT,,,,,,,,
95607,TL 17,CSMT,TITWALA,,,,,,,,
97345,T 51,CSMT,THANE,,,,,,,,
97619,C 19,CSMT,KURLA,,,,,,,,
97047,K 39,CSMT,KALYAN,,,,,,,,
95219,BL 19,CSMT,BADLAPUR,,,,,,,,
97347,T 53,CSMT,THANE,,,,,,,,
95313,A 21,CSMT,AMBERNATH,,,,,,,,
96513,TAN 3,THANE,ASANGAON,,,,,,,,
97049,PK 5,PAREL,KALYAN,,,,,,,,
97349,T 55,CSMT,THANE,,,,,,,,
95609,TL 19,CSMT,TITWALA,,,,,,,,
97621,C 21,CSMT,KURLA,,,,,,,,
96619,TL 21,CSMT,TITWALA,,,,,,,,
97351,T 57,CSMT,THANE,,,,,,,,
96111,TS 5,THANE,KARJAT,,,,,,,,
97623,C 23,CSMT,KURLA,,,,,,,,
95115,S 21,CSMT,KARJAT,,,,,,,,
97353,T 59,CSMT,THANE,,,,,,,,
97051,K 41,CSMT,KALYAN,,,,,,,,
96011,SKP 9,KARJAT,KHOPOLI,,,,,,,,
7,,,,,,,,,,,
95315,A 23,,,,,,,,,,
96621,TL 23,,,,,,,,,,
97053,PK 7,,,,,,,,,,
97219,DL 19,,,,,,,,,,
97055,CK 13,,,,,,,,,,
97355,T 61,,,,,,,,,,
95801,DL 21,,,,,,,,,,
96311,A 25,,,,,,,,,,
95409,N 15,,,,,,,,,,
97357,T 63,,,,,,,,,,
95221,BL 21,,,,,,,,,,
97057,K 43,,,,,,,,,,
96623,TL 25,,,,,,,,,,
96313,A 27,,,,,,,,,,
97221,PDL 1,,,,,,,,,,
97059,K 45,,,,,,,,,,
96203,TBL 1,,,,,,,,,,
97061,K 47,,,,,,,,,,
97223,PDL 3 ,,,,,,,,,,
95003,KP 5,,,,,,,,,,
97359,T 65,,,,,,,,,,
97063,K 49,,,,,,,,,,
97065,K 51,,,,,,,,,,
95411,N 17,,,,,,,,,,
96315,A 29,,,,,,,,,,
97225,DL 23,,,,,,,,,,
96625,TL 27,,,,,,,,,,
97067,DK 7,,,,,,,,,,
8,,,,,,,,,,,
96317,A 31,,,,,,,,,,
95717,K 53,,,,,,,,,,
97361,T 67,,,,,,,,,,
97069,K 55,,,,,,,,,,
97071,K 57,,,,,,,,,,
95505,AN 11,,,,,,,,,,
96407,TN 1,,,,,,,,,,
97363,T 69,,,,,,,,,,
96627,TL 29,,,,,,,,,,
95117,S 23,,,,,,,,,,
96319,A 33,,,,,,,,,,
97073,K 59,,,,,,,,,,
97227,PDL 5,,,,,,,,,,
96515,AN 13,,,,,,,,,,
97075,K 61,,,,,,,,,,
97365,T 71,,,,,,,,,,
95119,S 25,,,,,,,,,,
96013,SKP 11,,,,,,,,,,
97077,TK 3,,,,,,,,,,
96629,TL 31,,,,,,,,,,
97079,K 63,,,,,,,,,,
96321,A 35,,,,,,,,,,
95223,BL 23,,,,,,,,,,
97229,DL 25,,,,,,,,,,
97367,T 73,,,,,,,,,,
97081,CK 15,,,,,,,,,,
96631,TL 33,,,,,,,,,,
95225,BL 25,,,,,,,,,,
9,,,,,,,,,,,
97083,K 65,,,,,,,,,,
96205,BL 27,,,,,,,,,,
95413,N 19,,,,,,,,,,
97369,T 75,,,,,,,,,,
97085,K 67,,,,,,,,,,
97371,T 77,,,,,,,,,,
96323,A 37,,,,,,,,,,
97087,K 69,,,,,,,,,,
95507,AN 15,,,,,,,,,,
97089,PK 9,,,,,,,,,,
96633,TL 35,,,,,,,,,,
95121,S 27,,,,,,,,,,
96325,A 39,,,,,,,,,,
97091,K 71,,,,,,,,,,
96207,TBL 3,,,,,,,,,,
97093,PK 11,,,,,,,,,,
97231,DL 27,,,,,,,,,,
95005,KP 7,,,,,,,,,,
96635,TL 37,,,,,,,,,,
95719,K 73,,,,,,,,,,
97095,K 75,,,,,,,,,,
95415,N 21,,,,,,,,,,
97233,DL 29,,,,,,,,,,
97373,T 79,,,,,,,,,,
96517,AN 17,,,,,,,,,,
96637,TL 39,,,,,,,,,,
97097,K 77,,,,,,,,,,
95123,S 29,,,,,,,,,,
10,,,,,,,,,,,
97235,DL 31,,,,,,,,,,
95227,BL 29,,,,,,,,,,
97099,K 79,,,,,,,,,,
97375,PT 3,,,,,,,,,,
96327,TA 1,,,,,,,,,,
95721,KW 1,,,,,,,,,,
97101,K 81,,,,,,,,,,
97237,DL 33,,,,,,,,,,
95317,A 41,,,,,,,,,,
97377,T 81,,,,,,,,,,
96329,A 43,,,,,,,,,,
95509,AN 19,,,,,,,,,,
97379,T 83,,,,,,,,,,
96639,TL 41,,,,,,,,,,
97103,CK 17,,,,,,,,,,
95125,S 31,,,,,,,,,,
97105,TK 5,,,,,,,,,,
97381,T 85,,,,,,,,,,
97239,DL 35,,,,,,,,,,
97383,T 87,,,,,,,,,,
97625,C 25,,,,,,,,,,
97107,CK 19,,,,,,,,,,
95229,BL 31,,,,,,,,,,
97109,K 83,,,,,,,,,,
95417,N 23,,,,,,,,,,
97385,T 89,,,,,,,,,,
95319,A 45,,,,,,,,,,
96113,TS 7,,,,,,,,,,
11,,,,,,,,,,,
97241,PDL 7,,,,,,,,,,
97111,CK 21,,,,,,,,,,
97113,K 85,,,,,,,,,,
97387,T 91,,,,,,,,,,
97389,T 93,,,,,,,,,,
97115,K 87,,,,,,,,,,
